param_name,biome,forcing,criteria,variable,measure,x
default,Tundra,CTL2010,QSOIL_iav_Tundra,QSOIL,iav,1.0035528452126753e-08
default,Ice sheet,CTL2010,FSR_mean_Ice sheet,FSR,mean,1.3713373469260755
default,Ice sheet,CTL2010,FSR_iav_Ice sheet,FSR,iav,0.01920312851914696
default,Tropical rain forest,CTL2010,FSR_mean_Tropical rain forest,FSR,mean,1.112093362239876
default,Tropical rain forest,CTL2010,FSR_iav_Tropical rain forest,FSR,iav,0.009753569948712
default,Tropical seasonal forest/savanna,CTL2010,FSR_mean_Tropical seasonal forest/savanna,FSR,mean,9.351013014425005
default,Tropical seasonal forest/savanna,CTL2010,FSR_iav_Tropical seasonal forest/savanna,FSR,iav,0.052338505010405816
default,Subtropical desert,CTL2010,FSR_mean_Subtropical desert,FSR,mean,15.564476085924307
default,Subtropical desert,CTL2010,FSR_iav_Subtropical desert,FSR,iav,0.10503062522217933
default,Temperate rain forest,CTL2010,FSR_mean_Temperate rain forest,FSR,mean,0.04748417667299401
default,Temperate rain forest,CTL2010,FSR_iav_Temperate rain forest,FSR,iav,0.0014460858655438945
default,Temperate seasonal forest,CTL2010,FSR_mean_Temperate seasonal forest,FSR,mean,2.119107251346204
default,Temperate seasonal forest,CTL2010,FSR_iav_Temperate seasonal forest,FSR,iav,0.05125259952918593
default,Woodland/shrubland,CTL2010,FSR_mean_Woodland/shrubland,FSR,mean,4.339735892602856
default,Woodland/shrubland,CTL2010,FSR_iav_Woodland/shrubland,FSR,iav,0.09151018752731663
default,Temperate grassland/desert,CTL2010,FSR_mean_Temperate grassland/desert,FSR,mean,2.9504823595275833
default,Temperate grassland/desert,CTL2010,FSR_iav_Temperate grassland/desert,FSR,iav,0.03359570060285691
default,Boreal forest,CTL2010,FSR_mean_Boreal forest,FSR,mean,2.8758541024263833
default,Boreal forest,CTL2010,FSR_iav_Boreal forest,FSR,iav,0.06339149586371268
default,Tundra,CTL2010,FSR_mean_Tundra,FSR,mean,3.2466456040803306
default,Tundra,CTL2010,FSR_iav_Tundra,FSR,iav,0.03873369141251557
default,Ice sheet,CTL2010,FSDS_mean_Ice sheet,FSDS,mean,1.7874442545929097
default,Ice sheet,CTL2010,FSDS_iav_Ice sheet,FSDS,iav,0.017722274294217237
default,Tropical rain forest,CTL2010,FSDS_mean_Tropical rain forest,FSDS,mean,6.387212760375864
default,Tropical rain forest,CTL2010,FSDS_iav_Tropical rain forest,FSDS,iav,0.058541423081682746
default,Tropical seasonal forest/savanna,CTL2010,FSDS_mean_Tropical seasonal forest/savanna,FSDS,mean,55.627565076488544
default,Tropical seasonal forest/savanna,CTL2010,FSDS_iav_Tropical seasonal forest/savanna,FSDS,iav,0.23376980317805682
default,Subtropical desert,CTL2010,FSDS_mean_Subtropical desert,FSDS,mean,55.09169128918647
default,Subtropical desert,CTL2010,FSDS_iav_Subtropical desert,FSDS,iav,0.22618730450410962
default,Temperate rain forest,CTL2010,FSDS_mean_Temperate rain forest,FSDS,mean,0.2573822705127758
default,Temperate rain forest,CTL2010,FSDS_iav_Temperate rain forest,FSDS,iav,0.004147689285532838
default,Temperate seasonal forest,CTL2010,FSDS_mean_Temperate seasonal forest,FSDS,mean,11.152129970597706
default,Temperate seasonal forest,CTL2010,FSDS_iav_Temperate seasonal forest,FSDS,iav,0.05485945496206571
default,Woodland/shrubland,CTL2010,FSDS_mean_Woodland/shrubland,FSDS,mean,21.868370748376584
default,Woodland/shrubland,CTL2010,FSDS_iav_Woodland/shrubland,FSDS,iav,0.07189349835009333
default,Temperate grassland/desert,CTL2010,FSDS_mean_Temperate grassland/desert,FSDS,mean,13.70082291885384
default,Temperate grassland/desert,CTL2010,FSDS_iav_Temperate grassland/desert,FSDS,iav,0.029106657743329576
